"時点","地域コード","地域","旅館営業施設数（ホテルを含む）【施設】","注記"
"2005年","43000","熊本県","1528",""
"2005年","44000","大分県","1578",""
"2005年","45000","宮崎県","595",""
"2005年","46000","鹿児島県","1415",""
"2005年","47000","沖縄県","994",""
"2006年","01000","北海道","3718",""
"2006年","02000","青森県","1048",""
"2006年","03000","岩手県","1116",""
"2006年","04000","宮城県","990",""
"2006年","05000","秋田県","756",""
"2006年","06000","山形県","1104",""
"2006年","07000","福島県","2078",""
"2006年","08000","茨城県","1526",""
"2006年","09000","栃木県","1902",""
"2006年","10000","群馬県","1565",""
"2006年","11000","埼玉県","893",""
"2006年","12000","千葉県","1703",""
"2006年","13000","東京都","2018",""
"2006年","14000","神奈川県","1816",""
"2006年","15000","新潟県","2962",""
"2006年","16000","富山県","581",""
"2006年","17000","石川県","968",""
"2006年","18000","福井県","1322",""
"2006年","19000","山梨県","1667",""
"2006年","20000","長野県","3572",""
"2006年","21000","岐阜県","1585",""
"2006年","22000","静岡県","4306",""
"2006年","23000","愛知県","1692",""
"2006年","24000","三重県","2030",""
"2006年","25000","滋賀県","647",""
"2006年","26000","京都府","1025",""
"2006年","27000","大阪府","1311",""
"2006年","28000","兵庫県","1942",""
"2006年","29000","奈良県","510",""
"2006年","30000","和歌山県","1145",""
"2006年","31000","鳥取県","515",""
"2006年","32000","島根県","589",""
"2006年","33000","岡山県","1005",""
"2006年","34000","広島県","950",""
"2006年","35000","山口県","1101",""
"2006年","36000","徳島県","759",""
"2006年","37000","香川県","560",""
"2006年","38000","愛媛県","639",""
"2006年","39000","高知県","594",""
"2006年","40000","福岡県","1250",""
"2006年","41000","佐賀県","440",""
"2006年","42000","長崎県","827",""
"2006年","43000","熊本県","1508",""
"2006年","44000","大分県","1409",""
"2006年","45000","宮崎県","591",""
"2006年","46000","鹿児島県","1395",""
"2006年","47000","沖縄県","927",""
"2007年","01000","北海道","3666",""
"2007年","02000","青森県","1015",""
"2007年","03000","岩手県","1077",""
"2007年","04000","宮城県","982",""
"2007年","05000","秋田県","721",""
"2007年","06000","山形県","1094",""
"2007年","07000","福島県","2047",""
"2007年","08000","茨城県","1509",""
"2007年","09000","栃木県","1847",""
"2007年","10000","群馬県","1565",""
"2007年","11000","埼玉県","880",""
"2007年","12000","千葉県","1665",""
"2007年","13000","東京都","2004",""
"2007年","14000","神奈川県","1763",""
"2007年","15000","新潟県","2956",""
"2007年","16000","富山県","560",""
"2007年","17000","石川県","953",""
"2007年","18000","福井県","1285",""
"2007年","19000","山梨県","1616",""
"2007年","20000","長野県","3482",""
"2007年","21000","岐阜県","1501",""
"2007年","22000","静岡県","4199",""
"2007年","23000","愛知県","1645",""
"2007年","24000","三重県","1998",""
"2007年","25000","滋賀県","606",""
"2007年","26000","京都府","1009",""
"2007年","27000","大阪府","1316",""
"2007年","28000","兵庫県","1907",""
"2007年","29000","奈良県","498",""
"2007年","30000","和歌山県","1050",""
"2007年","31000","鳥取県","505",""
"2007年","32000","島根県","574",""
"2007年","33000","岡山県","994",""
"2007年","34000","広島県","919",""
"2007年","35000","山口県","1073",""
"2007年","36000","徳島県","743",""
"2007年","37000","香川県","552",""
"2007年","38000","愛媛県","620",""
"2007年","39000","高知県","587",""
"2007年","40000","福岡県","1224",""
"2007年","41000","佐賀県","430",""
"2007年","42000","長崎県","812",""
"2007年","43000","熊本県","1506",""
"2007年","44000","大分県","1422",""
"2007年","45000","宮崎県","566",""
"2007年","46000","鹿児島県","1397",""
"2007年","47000","沖縄県","947",""
"2008年","01000","北海道","3556",""
"2008年","02000","青森県","972",""
"2008年","03000","岩手県","1046",""
"2008年","04000","宮城県","976",""
"2008年","05000","秋田県","699",""
"2008年","06000","山形県","1073",""
"2008年","07000","福島県","1989",""
"2008年","08000","茨城県","1470",""
"2008年","09000","栃木県","1772",""
"2008年","10000","群馬県","1479",""
"2008年","11000","埼玉県","876",""
"2008年","12000","千葉県","1643",""
"2008年","13000","東京都","1999",""
"2008年","14000","神奈川県","1719",""
"2008年","15000","新潟県","2807",""
"2008年","16000","富山県","552",""
"2008年","17000","石川県","944",""
"2008年","18000","福井県","1242",""
"2008年","19000","山梨県","1586",""
"2008年","20000","長野県","3442",""
"2008年","21000","岐阜県","1471",""
"2008年","22000","静岡県","4107",""
"2008年","23000","愛知県","1594",""
"2008年","24000","三重県","1969",""
"2008年","25000","滋賀県","569",""
"2008年","26000","京都府","990",""
"2008年","27000","大阪府","1305",""
"2008年","28000","兵庫県","1879",""
"2008年","29000","奈良県","490",""
"2008年","30000","和歌山県","976",""
"2008年","31000","鳥取県","505",""
"2008年","32000","島根県","557",""
"2008年","33000","岡山県","968",""
"2008年","34000","広島県","872",""
"2008年","35000","山口県","1047",""
"2008年","36000","徳島県","735",""
"2008年","37000","香川県","526",""
"2008年","38000","愛媛県","602",""
"2008年","39000","高知県","577",""
"2008年","40000","福岡県","1206",""
"2008年","41000","佐賀県","425",""
"2008年","42000","長崎県","806",""
"2008年","43000","熊本県","1469",""
"2008年","44000","大分県","1372",""
"2008年","45000","宮崎県","556",""
"2008年","46000","鹿児島県","1382",""
"2008年","47000","沖縄県","940",""
"2009年","01000","北海道","3504",""
"2009年","02000","青森県","958",""
"2009年","03000","岩手県","1023",""
"2009年","04000","宮城県","960",""
"2009年","05000","秋田県","682",""
"2009年","06000","山形県","1050",""
"2009年","07000","福島県","1951",""
"2009年","08000","茨城県","1441",""
"2009年","09000","栃木県","1674",""
"2009年","10000","群馬県","1420",""
"2009年","11000","埼玉県","855",""
"2009年","12000","千葉県","1615",""
"2009年","13000","東京都","1981",""
"2009年","14000","神奈川県","1678",""
"2009年","15000","新潟県","2744",""
"2009年","16000","富山県","537",""
"2009年","17000","石川県","931",""
"2009年","18000","福井県","1219",""
"2009年","19000","山梨県","1555",""
"2009年","20000","長野県","3367",""
"2009年","21000","岐阜県","1427",""
"2009年","22000","静岡県","4028",""
"2009年","23000","愛知県","1567",""
"2009年","24000","三重県","1896",""
"2009年","25000","滋賀県","568",""
"2009年","26000","京都府","977",""
"2009年","27000","大阪府","1283",""
"2009年","28000","兵庫県","1847",""
"2009年","29000","奈良県","490",""
"2009年","30000","和歌山県","961",""
"2009年","31000","鳥取県","479",""
"2009年","32000","島根県","541",""
"2009年","33000","岡山県","938",""
"2009年","34000","広島県","835",""
"2009年","35000","山口県","1030",""
"2009年","36000","徳島県","726",""
"2009年","37000","香川県","506",""
"2009年","38000","愛媛県","586",""
"2009年","39000","高知県","576",""
"2009年","40000","福岡県","1167",""
"2009年","41000","佐賀県","417",""
"2009年","42000","長崎県","792",""
"2009年","43000","熊本県","1428",""
"2009年","44000","大分県","1379",""
"2009年","45000","宮崎県","548",""
"2009年","46000","鹿児島県","1350",""
"2009年","47000","沖縄県","962",""
"2010年","01000","北海道","3456",""
"2010年","02000","青森県","940",""
"2010年","03000","岩手県","990",""
"2010年","04000","宮城県","912",""
"2010年","05000","秋田県","661",""
"2010年","06000","山形県","1015",""
"2010年","07000","福島県","1902",""
"2010年","08000","茨城県","1410",""
"2010年","09000","栃木県","1651",""
"2010年","10000","群馬県","1375",""
"2010年","11000","埼玉県","826",""
"2010年","12000","千葉県","1562",""
"2010年","13000","東京都","1959",""
"2010年","14000","神奈川県","1639",""
"2010年","15000","新潟県","2644",""
"2010年","16000","富山県","523",""
"2010年","17000","石川県","887",""
"2010年","18000","福井県","1197",""
"2010年","19000","山梨県","1527",""
"2010年","20000","長野県","3238",""
"2010年","21000","岐阜県","1399",""
"2010年","22000","静岡県","3681",""
"2010年","23000","愛知県","1542",""
"2010年","24000","三重県","1865",""
"2010年","25000","滋賀県","562",""
"2010年","26000","京都府","961",""
"2010年","27000","大阪府","1253",""
"2010年","28000","兵庫県","1799",""
"2010年","29000","奈良県","486",""
"2010年","30000","和歌山県","936",""
"2010年","31000","鳥取県","479",""
"2010年","32000","島根県","525",""
"2010年","33000","岡山県","912",""
"2010年","34000","広島県","810",""
"2010年","35000","山口県","987",""
"2010年","36000","徳島県","661",""
"2010年","37000","香川県","482",""
"2010年","38000","愛媛県","569",""
"2010年","39000","高知県","538",""
"2010年","40000","福岡県","1142",""
"2010年","41000","佐賀県","411",""
"2010年","42000","長崎県","786",""
"2010年","43000","熊本県","1406",""
"2010年","44000","大分県","1348",""
"2010年","45000","宮崎県","538",""
"2010年","46000","鹿児島県","1314",""
"2010年","47000","沖縄県","948",""
"2011年","01000","北海道","3392",""
"2011年","02000","青森県","922",""
"2011年","03000","岩手県","969",""
"2011年","04000","宮城県","243",""
"2011年","05000","秋田県","653",""
"2011年","06000","山形県","989",""
"2011年","07000","福島県","1676",""
"2011年","08000","茨城県","1391",""
"2011年","09000","栃木県","1594",""
"2011年","10000","群馬県","1372",""
"2011年","11000","埼玉県","812",""
"2011年","12000","千葉県","1526",""
"2011年","13000","東京都","1972",""
"2011年","14000","神奈川県","1601",""
"2011年","15000","新潟県","2655",""
"2011年","16000","富山県","516",""
"2011年","17000","石川県","877",""
"2011年","18000","福井県","1183",""
"2011年","19000","山梨県","1501",""
"2011年","20000","長野県","3159",""
"2011年","21000","岐阜県","1273",""
"2011年","22000","静岡県","3602",""
"2011年","23000","愛知県","1503",""
"2011年","24000","三重県","1795",""
"2011年","25000","滋賀県","557",""
"2011年","26000","京都府","937",""
"2011年","27000","大阪府","1234",""
"2011年","28000","兵庫県","1752",""
"2011年","29000","奈良県","480",""
"2011年","30000","和歌山県","892",""
"2011年","31000","鳥取県","462",""
"2011年","32000","島根県","521",""
"2011年","33000","岡山県","851",""
"2011年","34000","広島県","819",""
"2011年","35000","山口県","975",""
"2011年","36000","徳島県","652",""
"2011年","37000","香川県","476",""
"2011年","38000","愛媛県","564",""
"2011年","39000","高知県","528",""
"2011年","40000","福岡県","1121",""
"2011年","41000","佐賀県","403",""
"2011年","42000","長崎県","735",""
"2011年","43000","熊本県","1399",""
"2011年","44000","大分県","1329",""
"2011年","45000","宮崎県","527",""
"2011年","46000","鹿児島県","1270",""
"2011年","47000","沖縄県","956",""
"2012年","01000","北海道","3301",""
"2012年","02000","青森県","906",""
"2012年","03000","岩手県","934",""
"2012年","04000","宮城県","860",""
"2012年","05000","秋田県","632",""
"2012年","06000","山形県","971",""
"2012年","07000","福島県","1811",""
"2012年","08000","茨城県","1341",""
"2012年","09000","栃木県","1563",""
"2012年","10000","群馬県","1340",""
"2012年","11000","埼玉県","783",""
"2012年","12000","千葉県","1476",""
"2012年","13000","東京都","1944",""
"2012年","14000","神奈川県","1562",""
"2012年","15000","新潟県","2556",""
"2012年","16000","富山県","502",""
"2012年","17000","石川県","857",""
"2012年","18000","福井県","1155",""
"2012年","19000","山梨県","1469",""
"2012年","20000","長野県","3111",""
"2012年","21000","岐阜県","1251",""
"2012年","22000","静岡県","3528",""
"2012年","23000","愛知県","1439",""
"2012年","24000","三重県","1711",""
"2012年","25000","滋賀県","546",""
"2012年","26000","京都府","946",""
"2012年","27000","大阪府","1185",""
"2012年","28000","兵庫県","1709",""
"2012年","29000","奈良県","477",""
"2012年","30000","和歌山県","857",""
"2012年","31000","鳥取県","451",""
"2012年","32000","島根県","507",""
"2012年","33000","岡山県","827",""
"2012年","34000","広島県","810",""
"2012年","35000","山口県","936",""
"2012年","36000","徳島県","632",""
"2012年","37000","香川県","470",""
"2012年","38000","愛媛県","564",""
"2012年","39000","高知県","519",""
"2012年","40000","福岡県","1108",""
"2012年","41000","佐賀県","386",""
"2012年","42000","長崎県","704",""
"2012年","43000","熊本県","1382",""
"2012年","44000","大分県","1315",""
"2012年","45000","宮崎県","522",""
"2012年","46000","鹿児島県","1255",""
"2012年","47000","沖縄県","948",""
"2013年","01000","北海道","3246",""
"2013年","02000","青森県","890",""
"2013年","03000","岩手県","923",""
"2013年","04000","宮城県","849",""
"2013年","05000","秋田県","615",""
"2013年","06000","山形県","927",""
"2013年","07000","福島県","1771",""
"2013年","08000","茨城県","1246",""
"2013年","09000","栃木県","1517",""
"2013年","10000","群馬県","1306",""
"2013年","11000","埼玉県","747",""
"2013年","12000","千葉県","1435",""
"2013年","13000","東京都","1914",""
"2013年","14000","神奈川県","1498",""
"2013年","15000","新潟県","2408",""
"2013年","16000","富山県","491",""
"2013年","17000","石川県","826",""
"2013年","18000","福井県","1126",""
"2013年","19000","山梨県","1454",""
"2013年","20000","長野県","3039",""
"2013年","21000","岐阜県","1233",""
"2013年","22000","静岡県","3464",""
"2013年","23000","愛知県","1371",""
"2013年","24000","三重県","1691",""
"2013年","25000","滋賀県","536",""
"2013年","26000","京都府","936",""
"2013年","27000","大阪府","1167",""
"2013年","28000","兵庫県","1663",""
"2013年","29000","奈良県","468",""
"2013年","30000","和歌山県","824",""
"2013年","31000","鳥取県","444",""
"2013年","32000","島根県","489",""
"2013年","33000","岡山県","818",""
"2013年","34000","広島県","780",""
"2013年","35000","山口県","912",""
"2013年","36000","徳島県","631",""
"2013年","37000","香川県","453",""
"2013年","38000","愛媛県","540",""
"2013年","39000","高知県","507",""
"2013年","40000","福岡県","1057",""
"2013年","41000","佐賀県","378",""
"2013年","42000","長崎県","678",""
"2013年","43000","熊本県","1363",""
"2013年","44000","大分県","1231",""
"2013年","45000","宮崎県","511",""
"2013年","46000","鹿児島県","1223",""
"2013年","47000","沖縄県","944",""
"2014年","01000","北海道","3163",""
"2014年","02000","青森県","852",""
"2014年","03000","岩手県","910",""
"2014年","04000","宮城県","831",""
"2014年","05000","秋田県","611",""
"2014年","06000","山形県","901",""
"2014年","07000","福島県","1704",""
"2014年","08000","茨城県","1173",""
"2014年","09000","栃木県","1483",""
"2014年","10000","群馬県","1286",""
"2014年","11000","埼玉県","725",""
"2014年","12000","千葉県","1416",""
"2014年","13000","東京都","1884",""
"2014年","14000","神奈川県","1443",""
"2014年","15000","新潟県","2355",""
"2014年","16000","富山県","476",""
"2014年","17000","石川県","804",""
"2014年","18000","福井県","1102",""
"2014年","19000","山梨県","1434",""
"2014年","20000","長野県","3002",""
"2014年","21000","岐阜県","1209",""
"2014年","22000","静岡県","3344",""
"2014年","23000","愛知県","1313",""
"2014年","24000","三重県","1653",""
"2014年","25000","滋賀県","529",""
"2014年","26000","京都府","919",""
"2014年","27000","大阪府","1157",""
"2014年","28000","兵庫県","1637",""
"2014年","29000","奈良県","457",""
"2014年","30000","和歌山県","793",""
"2014年","31000","鳥取県","443",""
"2014年","32000","島根県","479",""
"2014年","33000","岡山県","800",""
"2014年","34000","広島県","771",""
"2014年","35000","山口県","895",""
"2014年","36000","徳島県","607",""
"2014年","37000","香川県","444",""
"2014年","38000","愛媛県","511",""
"2014年","39000","高知県","497",""
"2014年","40000","福岡県","1041",""
"2014年","41000","佐賀県","377",""
"2014年","42000","長崎県","652",""
"2014年","43000","熊本県","1325",""
"2014年","44000","大分県","1231",""
"2014年","45000","宮崎県","493",""
"2014年","46000","鹿児島県","1115",""
"2014年","47000","沖縄県","925",""
"2015年","01000","北海道","3080",""
"2015年","02000","青森県","823",""
"2015年","03000","岩手県","859",""
"2015年","04000","宮城県","816",""
"2015年","05000","秋田県","600",""
"2015年","06000","山形県","884",""
"2015年","07000","福島県","1659",""
"2015年","08000","茨城県","1072",""
"2015年","09000","栃木県","1463",""
"2015年","10000","群馬県","1260",""
"2015年","11000","埼玉県","718",""
"2015年","12000","千葉県","1377",""
"2015年","13000","東京都","1869",""
"2015年","14000","神奈川県","1416",""
"2015年","15000","新潟県","2291",""
"2015年","16000","富山県","460",""
"2015年","17000","石川県","791",""
"2015年","18000","福井県","1067",""
"2015年","19000","山梨県","1411",""
"2015年","20000","長野県","2946",""
"2015年","21000","岐阜県","1187",""
"2015年","22000","静岡県","3233",""
"2015年","23000","愛知県","1277",""
"2015年","24000","三重県","1597",""
"2015年","25000","滋賀県","521",""
"2015年","26000","京都府","909",""
"2015年","27000","大阪府","1130",""
"2015年","28000","兵庫県","1610",""
"2015年","29000","奈良県","453",""
"2015年","30000","和歌山県","735",""
"2015年","31000","鳥取県","437",""
"2015年","32000","島根県","466",""
"2015年","33000","岡山県","760",""
"2015年","34000","広島県","744",""
"2015年","35000","山口県","857",""
"2015年","36000","徳島県","601",""
"2015年","37000","香川県","429",""
"2015年","38000","愛媛県","497",""
"2015年","39000","高知県","461",""
"2015年","40000","福岡県","1014",""
"2015年","41000","佐賀県","362",""
"2015年","42000","長崎県","641",""
"2015年","43000","熊本県","1269",""
"2015年","44000","大分県","1215",""
"2015年","45000","宮崎県","493",""
"2015年","46000","鹿児島県","1093",""
"2015年","47000","沖縄県","925",""
"2016年","01000","北海道","2964",""
"2016年","02000","青森県","768",""
"2016年","03000","岩手県","847",""
"2016年","04000","宮城県","815",""
"2016年","05000","秋田県","590",""
"2016年","06000","山形県","853",""
"2016年","07000","福島県","1642",""
"2016年","08000","茨城県","1028",""
"2016年","09000","栃木県","1459",""
"2016年","10000","群馬県","1248",""
"2016年","11000","埼玉県","712",""
"2016年","12000","千葉県","1351",""
"2016年","13000","東京都","1891",""
"2016年","14000","神奈川県","1387",""
"2016年","15000","新潟県","2216",""
"2016年","16000","富山県","444",""
"2016年","17000","石川県","766",""
"2016年","18000","福井県","1021",""
"2016年","19000","山梨県","1398",""
"2016年","20000","長野県","2883",""
"2016年","21000","岐阜県","1160",""
"2016年","22000","静岡県","3146",""
"2016年","23000","愛知県","1236",""
"2016年","24000","三重県","1541",""
"2016年","25000","滋賀県","514",""
"2016年","26000","京都府","899",""
"2016年","27000","大阪府","1137",""
"2016年","28000","兵庫県","1574",""
"2016年","29000","奈良県","446",""
"2016年","30000","和歌山県","697",""
"2016年","31000","鳥取県","435",""
"2016年","32000","島根県","455",""
"2016年","33000","岡山県","744",""
"2016年","34000","広島県","733",""
"2016年","35000","山口県","812",""
"2016年","36000","徳島県","597",""
"2016年","37000","香川県","419",""
"2016年","38000","愛媛県","479",""
"2016年","39000","高知県","432",""
"2016年","40000","福岡県","996",""
"2016年","41000","佐賀県","358",""
"2016年","42000","長崎県","633",""
"2016年","43000","熊本県","1247",""
"2016年","44000","大分県","1176",""
"2016年","45000","宮崎県","482",""
"2016年","46000","鹿児島県","1079",""
"2016年","47000","沖縄県","918",""
"2017年","01000","北海道","2891",""
"2017年","02000","青森県","704",""
"2017年","03000","岩手県","837",""
"2017年","04000","宮城県","806",""
"2017年","05000","秋田県","577",""
"2017年","06000","山形県","835",""
"2017年","07000","福島県","1623",""
"2017年","08000","茨城県","996",""
"2017年","09000","栃木県","1437",""
"2017年","10000","群馬県","1225",""
"2017年","11000","埼玉県","709",""
"2017年","12000","千葉県","1333",""
"2017年","13000","東京都","1939",""
"2017年","14000","神奈川県","1362",""
"2017年","15000","新潟県","2175",""
"2017年","16000","富山県","435",""
"2017年","17000","石川県","759",""
"2017年","18000","福井県","1003",""
"2017年","19000","山梨県","1384",""
"2017年","20000","長野県","2750",""
"2017年","21000","岐阜県","1136",""
"2017年","22000","静岡県","3073",""
"2017年","23000","愛知県","1184",""
"2017年","24000","三重県","1457",""
"2017年","25000","滋賀県","508",""
"2017年","26000","京都府","906",""
"2017年","27000","大阪府","1160",""
"2017年","28000","兵庫県","1554",""
"2017年","29000","奈良県","405",""
"2017年","30000","和歌山県","724",""
"2017年","31000","鳥取県","386",""
"2017年","32000","島根県","438",""
"2017年","33000","岡山県","723",""
"2017年","34000","広島県","726",""
"2017年","35000","山口県","770",""
"2017年","36000","徳島県","583",""
"2017年","37000","香川県","409",""
"2017年","38000","愛媛県","465",""
"2017年","39000","高知県","406",""
"2017年","40000","福岡県","963",""
"2017年","41000","佐賀県","354",""
"2017年","42000","長崎県","622",""
"2017年","43000","熊本県","1221",""
"2017年","44000","大分県","1168",""
"2017年","45000","宮崎県","474",""
"2017年","46000","鹿児島県","1046",""
"2017年","47000","沖縄県","949",""
"2018年","01000","北海道","2897",""
"2018年","02000","青森県","693",""
"2018年","03000","岩手県","826",""
"2018年","04000","宮城県","785",""
"2018年","05000","秋田県","565",""
"2018年","06000","山形県","834",""
"2018年","07000","福島県","1581",""
"2018年","08000","茨城県","973",""
"2018年","09000","栃木県","1418",""
"2018年","10000","群馬県","1197",""
"2018年","11000","埼玉県","694",""
"2018年","12000","千葉県","1328",""
"2018年","13000","東京都","2024",""
"2018年","14000","神奈川県","1341",""
"2018年","15000","新潟県","2140",""
"2018年","16000","富山県","433",""
"2018年","17000","石川県","760",""
"2018年","18000","福井県","987",""
"2018年","19000","山梨県","1341",""
"2018年","20000","長野県","2677",""
"2018年","21000","岐阜県","1133",""
"2018年","22000","静岡県","3004",""
"2018年","23000","愛知県","1175",""
"2018年","24000","三重県","1394",""
"2018年","25000","滋賀県","506",""
"2018年","26000","京都府","921",""
"2018年","27000","大阪府","1230",""
"2018年","28000","兵庫県","1525",""
"2018年","29000","奈良県","406",""
"2018年","30000","和歌山県","716",""
"2018年","31000","鳥取県","375",""
"2018年","32000","島根県","434",""
"2018年","33000","岡山県","693",""
"2018年","34000","広島県","697",""
"2018年","35000","山口県","743",""
"2018年","36000","徳島県","535",""
"2018年","37000","香川県","381",""
"2018年","38000","愛媛県","465",""
"2018年","39000","高知県","393",""
"2018年","40000","福岡県","957",""
"2018年","41000","佐賀県","355",""
"2018年","42000","長崎県","611",""
"2018年","43000","熊本県","1213",""
"2018年","44000","大分県","1162",""
"2018年","45000","宮崎県","465",""
"2018年","46000","鹿児島県","1032",""
"2018年","47000","沖縄県","1009",""
"2019年","01000","北海道","2868",""
"2019年","02000","青森県","680",""
"2019年","03000","岩手県","817",""
"2019年","04000","宮城県","763",""
"2019年","05000","秋田県","547",""
"2019年","06000","山形県","816",""
"2019年","07000","福島県","1543",""
"2019年","08000","茨城県","953",""
"2019年","09000","栃木県","1412",""
"2019年","10000","群馬県","1184",""
"2019年","11000","埼玉県","688",""
"2019年","12000","千葉県","1307",""
"2019年","13000","東京都","2435",""
"2019年","14000","神奈川県","1341",""
"2019年","15000","新潟県","2112",""
"2019年","16000","富山県","426",""
"2019年","17000","石川県","753",""
"2019年","18000","福井県","973",""
"2019年","19000","山梨県","1328",""
"2019年","20000","長野県","2669",""
"2019年","21000","岐阜県","1110",""
"2019年","22000","静岡県","2928",""
"2019年","23000","愛知県","1191",""
"2019年","24000","三重県","1372",""
"2019年","25000","滋賀県","502",""
"2019年","26000","京都府","969",""
"2019年","27000","大阪府","1339",""
"2019年","28000","兵庫県","1507",""
"2019年","29000","奈良県","417",""
"2019年","30000","和歌山県","698",""
"2019年","31000","鳥取県","424",""
"2019年","32000","島根県","402",""
"2019年","33000","岡山県","684",""
"2019年","34000","広島県","696",""
"2019年","35000","山口県","708",""
"2019年","36000","徳島県","511",""
"2019年","37000","香川県","372",""
"2019年","38000","愛媛県","455",""
"2019年","39000","高知県","390",""
"2019年","40000","福岡県","1102",""
"2019年","41000","佐賀県","353",""
"2019年","42000","長崎県","597",""
"2019年","43000","熊本県","1200",""
"2019年","44000","大分県","1165",""
"2019年","45000","宮崎県","455",""
"2019年","46000","鹿児島県","933",""
"2019年","47000","沖縄県","1407",""
"2020年","01000","北海道","2863",""
"2020年","02000","青森県","630",""
"2020年","03000","岩手県","811",""
"2020年","04000","宮城県","757",""
"2020年","05000","秋田県","545",""
"2020年","06000","山形県","807",""
"2020年","07000","福島県","1521",""
"2020年","08000","茨城県","941",""
"2020年","09000","栃木県","1413",""
"2020年","10000","群馬県","1175",""
"2020年","11000","埼玉県","689",""
"2020年","12000","千葉県","1289",""
"2020年","13000","東京都","3308",""
"2020年","14000","神奈川県","1341",""
"2020年","15000","新潟県","2062",""
"2020年","16000","富山県","418",""
"2020年","17000","石川県","743",""
"2020年","18000","福井県","949",""
"2020年","19000","山梨県","1331",""
"2020年","20000","長野県","2620",""
"2020年","21000","岐阜県","1098",""
"2020年","22000","静岡県","2841",""
"2020年","23000","愛知県","1202",""
"2020年","24000","三重県","1293",""
"2020年","25000","滋賀県","500",""
"2020年","26000","京都府","995",""
"2020年","27000","大阪府","1477",""
"2020年","28000","兵庫県","1490",""
"2020年","29000","奈良県","417",""
"2020年","30000","和歌山県","691",""
"2020年","31000","鳥取県","604",""
"2020年","32000","島根県","391",""
"2020年","33000","岡山県","695",""
"2020年","34000","広島県","701",""
"2020年","35000","山口県","692",""
"2020年","36000","徳島県","506",""
"2020年","37000","香川県","361",""
"2020年","38000","愛媛県","449",""
"2020年","39000","高知県","372",""
"2020年","40000","福岡県","1294",""
"2020年","41000","佐賀県","344",""
"2020年","42000","長崎県","612",""
"2020年","43000","熊本県","1182",""
"2020年","44000","大分県","1080",""
"2020年","45000","宮崎県","444",""
"2020年","46000","鹿児島県","904",""
"2020年","47000","沖縄県","2156",""
