"時点","地域コード","地域","住宅数【戸】","注記","空き家数【戸】","注記"
"1978年","01000","北海道","1744500","","118100",""
"1978年","02000","青森県","411400","","21200",""
"1978年","03000","岩手県","384300","","19400",""
"1978年","04000","宮城県","578700","","33100",""
"1978年","05000","秋田県","338100","","16100",""
"1978年","06000","山形県","318000","","14100",""
"1978年","07000","福島県","539100","","28400",""
"1978年","08000","茨城県","664000","","42900",""
"1978年","09000","栃木県","488000","","36100",""
"1978年","10000","群馬県","513900","","34800",""
"1978年","11000","埼玉県","1554500","","118500",""
"1978年","12000","千葉県","1375500","","119900",""
"1978年","13000","東京都","4239200","","341800",""
"1978年","14000","神奈川県","2133500","","154200",""
"1978年","15000","新潟県","636100","","32500",""
"1978年","16000","富山県","289800","","16100",""
"1978年","17000","石川県","310700","","23000",""
"1978年","18000","福井県","210600","","13600",""
"1978年","19000","山梨県","229600","","14000",""
"1978年","20000","長野県","596900","","47300",""
"1978年","21000","岐阜県","535300","","38400",""
"1978年","22000","静岡県","970300","","80100",""
"1978年","23000","愛知県","1842500","","167100",""
"1978年","24000","三重県","477300","","35100",""
"1978年","25000","滋賀県","293500","","28500",""
"1978年","26000","京都府","788600","","62700",""
"1978年","27000","大阪府","2848800","","279100",""
"1978年","28000","兵庫県","1615300","","139200",""
"1978年","29000","奈良県","331900","","25700",""
"1978年","30000","和歌山県","349400","","31700",""
"1978年","31000","鳥取県","165300","","9300",""
"1978年","32000","島根県","223500","","13100",""
"1978年","33000","岡山県","556500","","43700",""
"1978年","34000","広島県","864600","","66400",""
"1978年","35000","山口県","497700","","35300",""
"1978年","36000","徳島県","243700","","17600",""
"1978年","37000","香川県","300800","","25600",""
"1978年","38000","愛媛県","477400","","35500",""
"1978年","39000","高知県","278800","","23000",""
"1978年","40000","福岡県","1400800","","105100",""
"1978年","41000","佐賀県","221600","","9300",""
"1978年","42000","長崎県","459300","","26800",""
"1978年","43000","熊本県","507000","","28800",""
"1978年","44000","大分県","375500","","26100",""
"1978年","45000","宮崎県","355800","","20900",""
"1978年","46000","鹿児島県","609400","","38200",""
"1978年","47000","沖縄県","303000","","21800",""
"1983年","01000","北海道","1923800","","166500",""
"1983年","02000","青森県","444900","","31000",""
"1983年","03000","岩手県","413500","","29200",""
"1983年","04000","宮城県","632700","","42800",""
"1983年","05000","秋田県","353600","","21500",""
"1983年","06000","山形県","333900","","18700",""
"1983年","07000","福島県","578000","","36800",""
"1983年","08000","茨城県","763800","","52800",""
"1983年","09000","栃木県","531200","","41900",""
"1983年","10000","群馬県","564400","","42300",""
"1983年","11000","埼玉県","1754400","","138900",""
"1983年","12000","千葉県","1587800","","154400",""
"1983年","13000","東京都","4528200","","395200",""
"1983年","14000","神奈川県","2374200","","182300",""
"1983年","15000","新潟県","690900","","43500",""
"1983年","16000","富山県","302100","","20000",""
"1983年","17000","石川県","341400","","26500",""
"1983年","18000","福井県","221800","","16200",""
"1983年","19000","山梨県","252700","","24700",""
"1983年","20000","長野県","647400","","72600",""
"1983年","21000","岐阜県","577600","","48600",""
"1983年","22000","静岡県","1050600","","94000",""
"1983年","23000","愛知県","1994100","","184600",""
"1983年","24000","三重県","518300","","44100",""
"1983年","25000","滋賀県","321800","","28800",""
"1983年","26000","京都府","885800","","85800",""
"1983年","27000","大阪府","3053700","","327600",""
"1983年","28000","兵庫県","1738100","","173100",""
"1983年","29000","奈良県","374300","","30800",""
"1983年","30000","和歌山県","364300","","38500",""
"1983年","31000","鳥取県","180200","","14600",""
"1983年","32000","島根県","233300","","16100",""
"1983年","33000","岡山県","594600","","51800",""
"1983年","34000","広島県","935400","","80100",""
"1983年","35000","山口県","532400","","41700",""
"1983年","36000","徳島県","263700","","25000",""
"1983年","37000","香川県","320400","","27600",""
"1983年","38000","愛媛県","512500","","48300",""
"1983年","39000","高知県","299000","","33700",""
"1983年","40000","福岡県","1545300","","132300",""
"1983年","41000","佐賀県","237900","","12800",""
"1983年","42000","長崎県","495600","","33200",""
"1983年","43000","熊本県","547700","","36900",""
"1983年","44000","大分県","399400","","31900",""
"1983年","45000","宮崎県","387800","","26700",""
"1983年","46000","鹿児島県","664000","","54700",""
"1983年","47000","沖縄県","338200","","20800",""
"1988年","01000","北海道","2092500","","220300",""
"1988年","02000","青森県","479400","","44200",""
"1988年","03000","岩手県","434900","","38000",""
"1988年","04000","宮城県","700800","","55800",""
"1988年","05000","秋田県","369400","","27800",""
"1988年","06000","山形県","345600","","18300",""
"1988年","07000","福島県","624700","","51400",""
"1988年","08000","茨城県","842200","","74000",""
"1988年","09000","栃木県","583700","","54300",""
"1988年","10000","群馬県","619300","","58200",""
"1988年","11000","埼玉県","2022100","","157900",""
"1988年","12000","千葉県","1776500","","159800",""
"1988年","13000","東京都","4817600","","411100",""
"1988年","14000","神奈川県","2702800","","195700",""
"1988年","15000","新潟県","726700","","57100",""
"1988年","16000","富山県","317300","","22600",""
"1988年","17000","石川県","368400","","33300",""
"1988年","18000","福井県","237700","","19100",""
"1988年","19000","山梨県","277500","","35100",""
"1988年","20000","長野県","697500","","83000",""
"1988年","21000","岐阜県","617700","","55900",""
"1988年","22000","静岡県","1145300","","108900",""
"1988年","23000","愛知県","2181700","","210900",""
"1988年","24000","三重県","558500","","54600",""
"1988年","25000","滋賀県","353300","","31700",""
"1988年","26000","京都府","959800","","98900",""
"1988年","27000","大阪府","3301600","","364200",""
"1988年","28000","兵庫県","1862700","","195800",""
"1988年","29000","奈良県","418100","","38900",""
"1988年","30000","和歌山県","383400","","49600",""
"1988年","31000","鳥取県","189800","","18500",""
"1988年","32000","島根県","245800","","19200",""
"1988年","33000","岡山県","647300","","73100",""
"1988年","34000","広島県","1015200","","100500",""
"1988年","35000","山口県","565800","","53900",""
"1988年","36000","徳島県","279600","","30000",""
"1988年","37000","香川県","341700","","34800",""
"1988年","38000","愛媛県","557000","","60000",""
"1988年","39000","高知県","323500","","43200",""
"1988年","40000","福岡県","1683500","","170400",""
"1988年","41000","佐賀県","255800","","16700",""
"1988年","42000","長崎県","533000","","50500",""
"1988年","43000","熊本県","601200","","49100",""
"1988年","44000","大分県","430000","","42600",""
"1988年","45000","宮崎県","412200","","34300",""
"1988年","46000","鹿児島県","718500","","80900",""
"1988年","47000","沖縄県","388700","","36200",""
"1993年","01000","北海道","2258800","","230400",""
"1993年","02000","青森県","499300","","51000",""
"1993年","03000","岩手県","463400","","40200",""
"1993年","04000","宮城県","791000","","72600",""
"1993年","05000","秋田県","383400","","29300",""
"1993年","06000","山形県","360700","","20700",""
"1993年","07000","福島県","668100","","53500",""
"1993年","08000","茨城県","949300","","92600",""
"1993年","09000","栃木県","657400","","69700",""
"1993年","10000","群馬県","688900","","73800",""
"1993年","11000","埼玉県","2333000","","197900",""
"1993年","12000","千葉県","2048600","","203900",""
"1993年","13000","東京都","5299500","","527100",""
"1993年","14000","神奈川県","3073600","","271200",""
"1993年","15000","新潟県","777300","","60900",""
"1993年","16000","富山県","349300","","27000",""
"1993年","17000","石川県","400900","","37500",""
"1993年","18000","福井県","250900","","20600",""
"1993年","19000","山梨県","313700","","41200",""
"1993年","20000","長野県","749900","","94700",""
"1993年","21000","岐阜県","671900","","62000",""
"1993年","22000","静岡県","1248000","","121200",""
"1993年","23000","愛知県","2414300","","228900",""
"1993年","24000","三重県","610300","","59800",""
"1993年","25000","滋賀県","391900","","38900",""
"1993年","26000","京都府","1023000","","99800",""
"1993年","27000","大阪府","3497600","","369400",""
"1993年","28000","兵庫県","2019300","","202000",""
"1993年","29000","奈良県","473100","","46100",""
"1993年","30000","和歌山県","400700","","50800",""
"1993年","31000","鳥取県","201200","","19500",""
"1993年","32000","島根県","254300","","22600",""
"1993年","33000","岡山県","692500","","65100",""
"1993年","34000","広島県","1105600","","117800",""
"1993年","35000","山口県","593100","","56300",""
"1993年","36000","徳島県","304100","","36700",""
"1993年","37000","香川県","364500","","39400",""
"1993年","38000","愛媛県","592000","","67500",""
"1993年","39000","高知県","337500","","48500",""
"1993年","40000","福岡県","1838600","","172500",""
"1993年","41000","佐賀県","269900","","18300",""
"1993年","42000","長崎県","544600","","48900",""
"1993年","43000","熊本県","641300","","57800",""
"1993年","44000","大分県","457900","","44500",""
"1993年","45000","宮崎県","438600","","37900",""
"1993年","46000","鹿児島県","747500","","83800",""
"1993年","47000","沖縄県","428300","","43700",""
"1998年","01000","北海道","2433300","","273400",""
"1998年","02000","青森県","534300","","58500",""
"1998年","03000","岩手県","502800","","51100",""
"1998年","04000","宮城県","886100","","98600",""
"1998年","05000","秋田県","413300","","37200",""
"1998年","06000","山形県","394200","","27800",""
"1998年","07000","福島県","728200","","72000",""
"1998年","08000","茨城県","1064800","","129400",""
"1998年","09000","栃木県","725400","","88600",""
"1998年","10000","群馬県","756000","","92600",""
"1998年","11000","埼玉県","2595800","","257400",""
"1998年","12000","千葉県","2321100","","294700",""
"1998年","13000","東京都","5669500","","624400",""
"1998年","14000","神奈川県","3409100","","349100",""
"1998年","15000","新潟県","843500","","76000",""
"1998年","16000","富山県","379100","","37100",""
"1998年","17000","石川県","441000","","47600",""
"1998年","18000","福井県","274800","","28100",""
"1998年","19000","山梨県","353800","","52300",""
"1998年","20000","長野県","850400","","129800",""
"1998年","21000","岐阜県","741100","","84800",""
"1998年","22000","静岡県","1388100","","165700",""
"1998年","23000","愛知県","2681000","","298900",""
"1998年","24000","三重県","687000","","84800",""
"1998年","25000","滋賀県","458700","","50200",""
"1998年","26000","京都府","1110900","","135100",""
"1998年","27000","大阪府","3852500","","501300",""
"1998年","28000","兵庫県","2214300","","299100",""
"1998年","29000","奈良県","525800","","64200",""
"1998年","30000","和歌山県","431200","","62600",""
"1998年","31000","鳥取県","214800","","23100",""
"1998年","32000","島根県","277400","","28100",""
"1998年","33000","岡山県","759000","","100200",""
"1998年","34000","広島県","1198300","","156600",""
"1998年","35000","山口県","633100","","70500",""
"1998年","36000","徳島県","319500","","40800",""
"1998年","37000","香川県","405300","","49800",""
"1998年","38000","愛媛県","621300","","71500",""
"1998年","39000","高知県","347200","","46100",""
"1998年","40000","福岡県","2008700","","199100",""
"1998年","41000","佐賀県","299900","","24700",""
"1998年","42000","長崎県","586000","","64500",""
"1998年","43000","熊本県","687400","","68100",""
"1998年","44000","大分県","495600","","58800",""
"1998年","45000","宮崎県","473700","","48300",""
"1998年","46000","鹿児島県","781600","","89400",""
"1998年","47000","沖縄県","470500","","52100",""
"2003年","01000","北海道","2572200","","303800",""
"2003年","02000","青森県","559200","","70100",""
"2003年","03000","岩手県","527900","","60800",""
"2003年","04000","宮城県","942300","","106300",""
"2003年","05000","秋田県","428600","","44200",""
"2003年","06000","山形県","415000","","40000",""
"2003年","07000","福島県","781800","","96200",""
"2003年","08000","茨城県","1135900","","146700",""
"2003年","09000","栃木県","769700","","103700",""
"2003年","10000","群馬県","798700","","108900",""
"2003年","11000","埼玉県","2826600","","273100",""
"2003年","12000","千葉県","2526200","","321900",""
"2003年","13000","東京都","6186000","","665400",""
"2003年","14000","神奈川県","3752000","","391600",""
"2003年","15000","新潟県","888000","","92100",""
"2003年","16000","富山県","407700","","47300",""
"2003年","17000","石川県","470500","","63500",""
"2003年","18000","福井県","293000","","38300",""
"2003年","19000","山梨県","380300","","73600",""
"2003年","20000","長野県","890800","","148900",""
"2003年","21000","岐阜県","782900","","101900",""
"2003年","22000","静岡県","1487300","","201000",""
"2003年","23000","愛知県","2898800","","333400",""
"2003年","24000","三重県","738700","","101200",""
"2003年","25000","滋賀県","504100","","63800",""
"2003年","26000","京都府","1201100","","153100",""
"2003年","27000","大阪府","4130800","","603300",""
"2003年","28000","兵庫県","2380400","","313600",""
"2003年","29000","奈良県","562200","","75700",""
"2003年","30000","和歌山県","459000","","80400",""
"2003年","31000","鳥取県","231300","","30000",""
"2003年","32000","島根県","283500","","31500",""
"2003年","33000","岡山県","803700","","104200",""
"2003年","34000","広島県","1271800","","171600",""
"2003年","35000","山口県","654600","","82200",""
"2003年","36000","徳島県","336300","","46100",""
"2003年","37000","香川県","421100","","58400",""
"2003年","38000","愛媛県","650100","","88900",""
"2003年","39000","高知県","373500","","52500",""
"2003年","40000","福岡県","2194500","","242600",""
"2003年","41000","佐賀県","303400","","28400",""
"2003年","42000","長崎県","603400","","74500",""
"2003年","43000","熊本県","729700","","81400",""
"2003年","44000","大分県","516500","","65700",""
"2003年","45000","宮崎県","490400","","53500",""
"2003年","46000","鹿児島県","809700","","106400",""
"2003年","47000","沖縄県","519700","","51800",""
"2008年","01000","北海道","2730500","","374400",""
"2008年","02000","青森県","580800","","84700",""
"2008年","03000","岩手県","549500","","77300",""
"2008年","04000","宮城県","1013900","","138400",""
"2008年","05000","秋田県","437400","","55300",""
"2008年","06000","山形県","432700","","47500",""
"2008年","07000","福島県","808200","","105000",""
"2008年","08000","茨城県","1223800","","178400",""
"2008年","09000","栃木県","839900","","126300",""
"2008年","10000","群馬県","855800","","123100",""
"2008年","11000","埼玉県","3029000","","322600",""
"2008年","12000","千葉県","2717700","","355900",""
"2008年","13000","東京都","6780500","","750300",""
"2008年","14000","神奈川県","4067800","","428600",""
"2008年","15000","新潟県","929700","","112800",""
"2008年","16000","富山県","424300","","52200",""
"2008年","17000","石川県","498000","","72700",""
"2008年","18000","福井県","308700","","46700",""
"2008年","19000","山梨県","398300","","80900",""
"2008年","20000","長野県","946300","","183000",""
"2008年","21000","岐阜県","835700","","117900",""
"2008年","22000","静岡県","1597900","","226800",""
"2008年","23000","愛知県","3132900","","343600",""
"2008年","24000","三重県","791000","","104600",""
"2008年","25000","滋賀県","567600","","73300",""
"2008年","26000","京都府","1270200","","167000",""
"2008年","27000","大阪府","4346000","","625100",""
"2008年","28000","兵庫県","2520700","","336200",""
"2008年","29000","奈良県","592600","","86400",""
"2008年","30000","和歌山県","467900","","83700",""
"2008年","31000","鳥取県","247200","","38000",""
"2008年","32000","島根県","295800","","44200",""
"2008年","33000","岡山県","866600","","128300",""
"2008年","34000","広島県","1356200","","198300",""
"2008年","35000","山口県","691600","","104600",""
"2008年","36000","徳島県","355600","","56500",""
"2008年","37000","香川県","446400","","71400",""
"2008年","38000","愛媛県","681100","","102800",""
"2008年","39000","高知県","377700","","62600",""
"2008年","40000","福岡県","2374800","","324600",""
"2008年","41000","佐賀県","322900","","35700",""
"2008年","42000","長崎県","631100","","88800",""
"2008年","43000","熊本県","769500","","102800",""
"2008年","44000","大分県","546500","","77200",""
"2008年","45000","宮崎県","509600","","62900",""
"2008年","46000","鹿児島県","851300","","129900",""
"2008年","47000","沖縄県","566500","","58400",""
"2013年","01000","北海道","2746600","","388200",""
"2013年","02000","青森県","586300","","81200",""
"2013年","03000","岩手県","552100","","76300",""
"2013年","04000","宮城県","1034100","","96900",""
"2013年","05000","秋田県","446900","","56600",""
"2013年","06000","山形県","431900","","46100",""
"2013年","07000","福島県","782300","","91800",""
"2013年","08000","茨城県","1268200","","184700",""
"2013年","09000","栃木県","879000","","143400",""
"2013年","10000","群馬県","902900","","150100",""
"2013年","11000","埼玉県","3266300","","355000",""
"2013年","12000","千葉県","2896200","","367200",""
"2013年","13000","東京都","7359400","","817100",""
"2013年","14000","神奈川県","4350800","","486700",""
"2013年","15000","新潟県","972300","","132000",""
"2013年","16000","富山県","439000","","56200",""
"2013年","17000","石川県","520400","","76900",""
"2013年","18000","福井県","309600","","43000",""
"2013年","19000","山梨県","422100","","92900",""
"2013年","20000","長野県","982200","","194000",""
"2013年","21000","岐阜県","878400","","133400",""
"2013年","22000","静岡県","1659300","","270900",""
"2013年","23000","愛知県","3439000","","422000",""
"2013年","24000","三重県","831200","","128500",""
"2013年","25000","滋賀県","602500","","77800",""
"2013年","26000","京都府","1320300","","175300",""
"2013年","27000","大阪府","4586000","","678800",""
"2013年","28000","兵庫県","2733700","","356500",""
"2013年","29000","奈良県","615000","","84500",""
"2013年","30000","和歌山県","475900","","86000",""
"2013年","31000","鳥取県","250100","","35900",""
"2013年","32000","島根県","304200","","44800",""
"2013年","33000","岡山県","885300","","140100",""
"2013年","34000","広島県","1393500","","221300",""
"2013年","35000","山口県","706400","","114400",""
"2013年","36000","徳島県","364900","","64000",""
"2013年","37000","香川県","470500","","80900",""
"2013年","38000","愛媛県","705200","","123400",""
"2013年","39000","高知県","392400","","69800",""
"2013年","40000","福岡県","2492700","","316800",""
"2013年","41000","佐賀県","338200","","43300",""
"2013年","42000","長崎県","660100","","101800",""
"2013年","43000","熊本県","804300","","114800",""
"2013年","44000","大分県","569500","","89900",""
"2013年","45000","宮崎県","533900","","74200",""
"2013年","46000","鹿児島県","864700","","147300",""
"2013年","47000","沖縄県","602800","","62400",""
"2018年","01000","北海道","2807200","","379800",""
"2018年","02000","青森県","592400","","88700",""
"2018年","03000","岩手県","579300","","93500",""
"2018年","04000","宮城県","1089300","","130500",""
"2018年","05000","秋田県","445700","","60800",""
"2018年","06000","山形県","449000","","54200",""
"2018年","07000","福島県","861300","","123500",""
"2018年","08000","茨城県","1328900","","197200",""
"2018年","09000","栃木県","926700","","160700",""
"2018年","10000","群馬県","949000","","158300",""
"2018年","11000","埼玉県","3384700","","346200",""
"2018年","12000","千葉県","3029800","","382500",""
"2018年","13000","東京都","7671600","","809900",""
"2018年","14000","神奈川県","4503500","","484700",""
"2018年","15000","新潟県","994500","","146200",""
"2018年","16000","富山県","452600","","60000",""
"2018年","17000","石川県","535800","","77800",""
"2018年","18000","福井県","325400","","45000",""
"2018年","19000","山梨県","422000","","90000",""
"2018年","20000","長野県","1007900","","197300",""
"2018年","21000","岐阜県","893900","","139800",""
"2018年","22000","静岡県","1714700","","281600",""
"2018年","23000","愛知県","3481800","","393800",""
"2018年","24000","三重県","853700","","129600",""
"2018年","25000","滋賀県","626000","","81200",""
"2018年","26000","京都府","1338300","","171800",""
"2018年","27000","大阪府","4680200","","709400",""
"2018年","28000","兵庫県","2680900","","360200",""
"2018年","29000","奈良県","617600","","87200",""
"2018年","30000","和歌山県","485200","","98400",""
"2018年","31000","鳥取県","256600","","39900",""
"2018年","32000","島根県","314200","","48300",""
"2018年","33000","岡山県","916300","","142500",""
"2018年","34000","広島県","1430700","","215600",""
"2018年","35000","山口県","719900","","126800",""
"2018年","36000","徳島県","380700","","74100",""
"2018年","37000","香川県","487700","","88200",""
"2018年","38000","愛媛県","714300","","129800",""
"2018年","39000","高知県","391600","","74600",""
"2018年","40000","福岡県","2581200","","328600",""
"2018年","41000","佐賀県","352100","","50500",""
"2018年","42000","長崎県","659500","","101500",""
"2018年","43000","熊本県","813700","","111900",""
"2018年","44000","大分県","581800","","97700",""
"2018年","45000","宮崎県","546400","","84200",""
"2018年","46000","鹿児島県","879400","","167000",""
"2018年","47000","沖縄県","652600","","67900",""
